"","Atrophy","Cog","DX","MedPath","Paths","Sig","LCI","UCI","mean","se"
"1","Atrophy_Amygdala","ADNI_MEM","NL","a","Abeta to Tau","0",-0.313608,0.023299,-0.14054,0.0882
"2","Atrophy_Amygdala","ADNI_MEM","EMCI","a","Abeta to Tau","1",-0.660578,-0.178282,-0.409515,0.128401
"3","Atrophy_Amygdala","ADNI_MEM","LMCI","a","Abeta to Tau","1",-0.831067,-0.433944,-0.637082,0.10161
"4","Atrophy_Amygdala","ADNI_MEM","TOTAL","a","Abeta to Tau","1",-0.48795,-0.259339,-0.369156,0.058971
"5","Atrophy_Amygdala","ADNI_EF","NL","a","Abeta to Tau","0",-0.313608,0.023299,-0.14054,0.0882
"6","Atrophy_Amygdala","ADNI_EF","EMCI","a","Abeta to Tau","1",-0.660578,-0.178282,-0.409515,0.128401
"7","Atrophy_Amygdala","ADNI_EF","LMCI","a","Abeta to Tau","1",-0.831067,-0.433944,-0.637082,0.10161
"8","Atrophy_Amygdala","ADNI_EF","TOTAL","a","Abeta to Tau","1",-0.48795,-0.259339,-0.369156,0.058971
"9","Atrophy_Entorhinal","ADNI_MEM","NL","a","Abeta to Tau","0",-0.313608,0.023299,-0.14054,0.0882
"10","Atrophy_Entorhinal","ADNI_MEM","EMCI","a","Abeta to Tau","1",-0.660578,-0.178282,-0.409515,0.128401
"11","Atrophy_Entorhinal","ADNI_MEM","LMCI","a","Abeta to Tau","1",-0.831067,-0.433944,-0.637082,0.10161
"12","Atrophy_Entorhinal","ADNI_MEM","TOTAL","a","Abeta to Tau","1",-0.48795,-0.259339,-0.369156,0.058971
"13","Atrophy_Entorhinal","ADNI_EF","NL","a","Abeta to Tau","0",-0.313608,0.023299,-0.14054,0.0882
"14","Atrophy_Entorhinal","ADNI_EF","EMCI","a","Abeta to Tau","1",-0.660578,-0.178282,-0.409515,0.128401
"15","Atrophy_Entorhinal","ADNI_EF","LMCI","a","Abeta to Tau","1",-0.831067,-0.433944,-0.637082,0.10161
"16","Atrophy_Entorhinal","ADNI_EF","TOTAL","a","Abeta to Tau","1",-0.48795,-0.259339,-0.369156,0.058971
"17","Atrophy_Hippocampus","ADNI_MEM","NL","a","Abeta to Tau","0",-0.313608,0.023299,-0.14054,0.0882
"18","Atrophy_Hippocampus","ADNI_MEM","EMCI","a","Abeta to Tau","1",-0.660578,-0.178282,-0.409515,0.128401
"19","Atrophy_Hippocampus","ADNI_MEM","LMCI","a","Abeta to Tau","1",-0.831067,-0.433944,-0.637082,0.10161
"20","Atrophy_Hippocampus","ADNI_MEM","TOTAL","a","Abeta to Tau","1",-0.48795,-0.259339,-0.369156,0.058971
"21","Atrophy_Hippocampus","ADNI_EF","NL","a","Abeta to Tau","0",-0.313608,0.023299,-0.14054,0.0882
"22","Atrophy_Hippocampus","ADNI_EF","EMCI","a","Abeta to Tau","1",-0.660578,-0.178282,-0.409515,0.128401
"23","Atrophy_Hippocampus","ADNI_EF","LMCI","a","Abeta to Tau","1",-0.831067,-0.433944,-0.637082,0.10161
"24","Atrophy_Hippocampus","ADNI_EF","TOTAL","a","Abeta to Tau","1",-0.48795,-0.259339,-0.369156,0.058971
"25","Atrophy_Insula","ADNI_MEM","NL","a","Abeta to Tau","0",-0.313608,0.023299,-0.14054,0.0882
"26","Atrophy_Insula","ADNI_MEM","EMCI","a","Abeta to Tau","1",-0.660578,-0.178282,-0.409515,0.128401
"27","Atrophy_Insula","ADNI_MEM","LMCI","a","Abeta to Tau","1",-0.831067,-0.433944,-0.637082,0.10161
"28","Atrophy_Insula","ADNI_MEM","TOTAL","a","Abeta to Tau","1",-0.48795,-0.259339,-0.369156,0.058971
"29","Atrophy_Insula","ADNI_EF","NL","a","Abeta to Tau","0",-0.313608,0.023299,-0.14054,0.0882
"30","Atrophy_Insula","ADNI_EF","EMCI","a","Abeta to Tau","1",-0.660578,-0.178282,-0.409515,0.128401
"31","Atrophy_Insula","ADNI_EF","LMCI","a","Abeta to Tau","1",-0.831067,-0.433944,-0.637082,0.10161
"32","Atrophy_Insula","ADNI_EF","TOTAL","a","Abeta to Tau","1",-0.48795,-0.259339,-0.369156,0.058971
"33","Atrophy_LateralTemporal","ADNI_MEM","NL","a","Abeta to Tau","0",-0.313608,0.023299,-0.14054,0.0882
"34","Atrophy_LateralTemporal","ADNI_MEM","EMCI","a","Abeta to Tau","1",-0.660578,-0.178282,-0.409515,0.128401
"35","Atrophy_LateralTemporal","ADNI_MEM","LMCI","a","Abeta to Tau","1",-0.831067,-0.433944,-0.637082,0.10161
"36","Atrophy_LateralTemporal","ADNI_MEM","TOTAL","a","Abeta to Tau","1",-0.48795,-0.259339,-0.369156,0.058971
"37","Atrophy_LateralTemporal","ADNI_EF","NL","a","Abeta to Tau","0",-0.313608,0.023299,-0.14054,0.0882
"38","Atrophy_LateralTemporal","ADNI_EF","EMCI","a","Abeta to Tau","1",-0.660578,-0.178282,-0.409515,0.128401
"39","Atrophy_LateralTemporal","ADNI_EF","LMCI","a","Abeta to Tau","1",-0.831067,-0.433944,-0.637082,0.10161
"40","Atrophy_LateralTemporal","ADNI_EF","TOTAL","a","Abeta to Tau","1",-0.48795,-0.259339,-0.369156,0.058971
"41","Atrophy_MediatTemporal","ADNI_MEM","NL","a","Abeta to Tau","0",-0.313608,0.023299,-0.14054,0.0882
"42","Atrophy_MediatTemporal","ADNI_MEM","EMCI","a","Abeta to Tau","1",-0.660578,-0.178282,-0.409515,0.128401
"43","Atrophy_MediatTemporal","ADNI_MEM","LMCI","a","Abeta to Tau","1",-0.831067,-0.433944,-0.637082,0.10161
"44","Atrophy_MediatTemporal","ADNI_MEM","TOTAL","a","Abeta to Tau","1",-0.48795,-0.259339,-0.369156,0.058971
"45","Atrophy_MediatTemporal","ADNI_EF","NL","a","Abeta to Tau","0",-0.313608,0.023299,-0.14054,0.0882
